FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Jaci Grote (D),"Grote, Jaci",Jaci,Grote,D,Rockingham,24,Rockingham-24,408923,139,139,5,92,42,0,184,33,30,18,F,-0,18,F
Rep. Cathryn Harvey (D),"Harvey, Cathryn",Cathryn,Harvey,D,Cheshire,6,Cheshire-06,408479,139,139,8,106,25,0,184,33,18,18,F,-0,18,F
Rep. Efstathia Booras (D),"Booras, Efstathia",Efstathia,Booras,D,Hillsborough,8,Hillsborough-08,377071,139,139,3,86,50,0,184,34,36,18,F,-1,17,F
Rep. Ned Raynolds (D),"Raynolds, Ned",Ned,Raynolds,D,Rockingham,39,Rockingham-39,409159,139,139,6,99,34,0,184,32,24,17,F,0,17,F
Rep. Nicole Leapley (D),"Leapley, Nicole",Nicole,Leapley,D,Hillsborough,22,Hillsborough-22,409122,139,139,4,96,39,0,184,31,28,17,F,0,17,F
Rep. Dale Swanson (D),"Swanson, Dale",Dale,Swanson,D,Hillsborough,5,Hillsborough-05,409301,139,139,5,98,36,0,184,31,26,17,F,0,17,F
Rep. Christopher Herbert (D),"Herbert, Christopher",Christopher,Herbert,D,Hillsborough,24,Hillsborough-24,377303,139,139,11,111,17,0,184,31,12,17,F,0,17,F
Rep. Alicia Gregg (D),"Gregg, Alicia",Alicia,Gregg,D,Hillsborough,7,Hillsborough-07,409105,139,139,5,91,43,0,184,34,31,18,F,-2,16,F
Rep. Allison Knab (D),"Knab, Allison",Allison,Knab,D,Rockingham,12,Rockingham-12,409118,139,139,5,101,33,0,184,31,24,17,F,-1,16,F
Rep. Mark Vallone (D),"Vallone, Mark",Mark,Vallone,D,Rockingham,5,Rockingham-05,408911,139,139,13,102,24,0,184,30,17,16,F,-0,16,F
Rep. Linda Haskins (D),"Haskins, Linda",Linda,Haskins,D,Rockingham,11,Rockingham-11,409107,139,139,4,94,41,0,184,30,29,16,F,-0,16,F
Rep. Dylan Germana (D),"Germana, Dylan",Dylan,Germana,D,Cheshire,1,Cheshire-01,409234,30,139,2,27,1,0,43,7,3,16,F,-0,16,F
Rep. Julie Gilman (D),"Gilman, Julie",Julie,Gilman,D,Rockingham,11,Rockingham-11,408615,139,139,5,100,34,0,184,29,24,16,F,-0,16,F
Rep. Samantha Jacobs (D),"Jacobs, Samantha",Samantha,Jacobs,D,Cheshire,15,Cheshire-15,409247,139,139,3,97,39,0,184,28,28,15,F,0,15,F
Rep. Chris McAleer (D),"McAleer, Chris",Chris,McAleer,D,Carroll,2,Carroll-02,408973,139,139,9,113,17,0,184,27,12,15,F,0,15,F
